"Positions for account Example Brokerage as of 07:22 AM ET, 2026/04/15"

"Symbol","Description","Qty (Quantity)","Price","Cost Basis"
"AAPL","APPLE INC","6.0807","258.76","$1,024.49"
"AMD","ADVANCED MICRO DEVIC","5","253.0425","$655.80"
"BAC","BANK OF AMERICA CORP","3.363","53.95","$129.29"
"GE","GE AEROSPACE","5.0113","316.69","$1,028.08"
"JPM","JPMORGAN CHASE & CO","2.152","310.6281","$327.36"
"MRVL","MARVELL TECHNOLOGY INC","4.0172","131.53","$278.33"
"MSFT","MICROSOFT CORP","1.0145","395.7121","$259.33"
"SNOW","SNOWFLAKE INC CLASS CLASS A","1","137.09","$112.00"
"TSLA","TESLA INC","1","365.77","$340.34"
"ARKF","ARK BLOCKCHAIN & FINTECHINNOVATION ETF","6.0037","40.78","$194.88"
"BOXX","ALPHA ARCHITECT 1-3 MONTH BOX ETF","3","116.31","$332.02"
"Cash & Cash Investments","--","--","--","--"
"Positions Total","","--","--","$4,681.92"
